exact_match,bleu,levenshtein,meteor,rouge1_p,rouge1_r,rouge1_f,rouge2_p,rouge2_r,rouge2_f,rougeL_p,rougeL_r,rougeL_f
0.0,0.023673228248624823,0.9849624060150376,0.06329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.031509162022154265,0.9614035087719298,0.1269035532994924,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.6,0.6,0.5999999950000001,0.8333333333333334,0.8333333333333334,0.8333333283333335
0.0,0.04126152034907944,0.9775280898876404,0.07142857142857142,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.0,0.04405307223959121,0.9931506849315068,0.3289473684210526,0.5,0.5,0.4999999950000001,0.0,0.0,0.0,0.5,0.5,0.4999999950000001
0.0,0.054363757420385135,0.9915966386554622,0.4587677725118484,0.6666666666666666,0.5,0.5714285665306124,0.0,0.0,0.0,0.6666666666666666,0.5,0.5714285665306124
0.0,0.04126152034907944,0.975609756097561,0.32538659793814434,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.0,0.03270462871517966,0.9901477832512315,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022727272727272728,0.030435086397476243,0.9943181818181818,0.07614213197969542,0.16666666666666666,0.14285714285714285,0.1538461488757398,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.1538461488757398
0.0,0.015565504122760001,0.9868421052631579,0.09090909090909093,0.5,0.6666666666666666,0.5714285665306124,0.0,0.0,0.0,0.5,0.6666666666666666,0.5714285665306124
0.0,0.004232843368804708,0.9994499449944995,0.08200597312095571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.010152985544442735,0.9984802431610942,0.17414860681114555,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
0.0,0.007611761911357688,0.9991896272285251,0.12908777969018934,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
0.0,0.03811446066960277,0.958904109589041,0.0617283950617284,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.031932994368391886,1.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.031018094303871525,0.9702970297029703,0.05747126436781609,0.75,0.6,0.6666666617283951,0.0,0.0,0.0,0.75,0.6,0.6666666617283951
0.0,0.033070391777111276,0.9743589743589743,0.06578947368421054,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.017425571271176506,0.9819819819819819,0.14124293785310738,0.5,0.5,0.4999999950000001,0.2,0.2,0.19999999500000015,0.5,0.5,0.4999999950000001
0.1111111111111111,0.12185174095150413,0.9032258064516129,0.0617283950617284,,,,,,,,,
0.0,0.15587984394728352,0.9770992366412213,0.4443127962085308,0.3333333333333333,0.5,0.39999999520000007,0.0,0.0,0.0,0.3333333333333333,0.5,0.39999999520000007
0.0,0.04668806122620522,0.9962406015037594,0.3374035989717224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.020260208223504397,0.9965870307167235,0.24193548387096778,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
0.0,0.039130723324525246,0.9963768115942029,0.29005174512987014,0.5,0.42857142857142855,0.4615384565680473,0.2,0.16666666666666666,0.18181817685950424,0.5,0.42857142857142855,0.4615384565680473
0.0,0.04593483557588444,0.9979695431472081,0.32142168209876554,0.8333333333333334,0.7142857142857143,0.7692307642603551,0.8,0.6666666666666666,0.7272727223140496,0.8333333333333334,0.7142857142857143,0.7692307642603551
0.0,0.029257663405376534,0.9936808846761453,0.259048326880531,0.5,0.5,0.4999999950000001,0.2,0.2,0.19999999500000015,0.5,0.5,0.4999999950000001
0.0,0.03644781385130376,0.9981515711645101,0.2761044176706828,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.6,0.6,0.5999999950000001,0.8333333333333334,0.8333333333333334,0.8333333283333335
0.0,0.009693368708948697,0.9955382041271612,0.08879027944912424,0.5,0.3,0.3749999953125,0.2,0.1,0.13333332888888905,0.5,0.3,0.3749999953125
0.0,0.037679387935720225,0.996395097332372,0.2854695101428878,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.6,0.6,0.5999999950000001,0.8333333333333334,0.8333333333333334,0.8333333283333335
