exact_match,bleu,levenshtein,meteor,rouge1_p,rouge1_r,rouge1_f,rouge2_p,rouge2_r,rouge2_f,rougeL_p,rougeL_r,rougeL_f
0.0,0.019903222170431924,0.9849624060150376,0.0574712643678161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.031509162022154265,0.9614035087719298,0.1269035532994924,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.6,0.6,0.5999999950000001,0.8333333333333334,0.8333333333333334,0.8333333283333335
0.0,0.03811446066960277,0.9775280898876404,0.06944444444444445,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.0,0.024247356221245932,0.9863945578231292,0.0574712643678161,0.3333333333333333,0.5,0.39999999520000007,0.0,0.0,0.0,0.3333333333333333,0.5,0.39999999520000007
0.016666666666666666,0.05403208148865031,0.9787234042553191,0.379914677735501,0.6666666666666666,0.5,0.5714285665306124,0.0,0.0,0.0,0.6666666666666666,0.5,0.5714285665306124
0.0,0.04906849357495483,0.9759036144578314,0.32538659793814434,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.0,0.029935082317802727,0.9901960784313726,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.02568287255849321,1.0,0.07009345794392523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0142358709676429,0.986784140969163,0.08620689655172414,0.5,0.6666666666666666,0.5714285665306124,0.0,0.0,0.0,0.5,0.6666666666666666,0.5714285665306124
0.0,0.0074130416412735555,0.9991902834008097,0.11319796954314723,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
0.0,0.008403222079249541,0.9984825493171472,0.11015325670498087,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
0.0,0.004487312657638136,0.999450247388675,0.06957328385899816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03962556917639567,0.958904109589041,0.0625,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.0310977426504684,1.0,0.15151515151515152,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
0.0,0.031018094303871525,0.9702970297029703,0.05747126436781609,0.5,0.4,0.4444444395061729,0.0,0.0,0.0,0.5,0.4,0.4444444395061729
0.0,0.031018094303871525,0.9743589743589743,0.06410256410256411,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.01580437977064801,0.9820627802690582,0.13586956521739132,0.5,0.5,0.4999999950000001,0.2,0.2,0.19999999500000015,0.5,0.5,0.4999999950000001
0.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05555555555555555,0.1615322840648722,0.9538461538461539,0.5482456140350876,0.5,0.5,0.4999999950000001,0.0,0.0,0.0,0.5,0.5,0.4999999950000001
0.0,0.011331946500219927,1.0,0.04310344827586207,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
0.0,0.009890085943984816,0.9981447124304267,0.058139534883720936,0.2,0.3333333333333333,0.24999999531250006,0.0,0.0,0.0,0.2,0.3333333333333333,0.24999999531250006
0.0,0.030877675463184068,0.9957591178965225,0.27239150507848575,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.6,0.6,0.5999999950000001,0.8333333333333334,0.8333333333333334,0.8333333283333335
0.0,0.033903004413134916,0.9936808846761453,0.2781231442992874,0.5,0.5,0.4999999950000001,0.2,0.2,0.19999999500000015,0.5,0.5,0.4999999950000001
0.0,0.049727505014893834,0.9979695431472081,0.3501444707118467,0.8333333333333334,0.7142857142857143,0.7692307642603551,0.8,0.6666666666666666,0.7272727223140496,0.8333333333333334,0.7142857142857143,0.7692307642603551
0.0,0.03985172682254552,0.9975262832405689,0.29633620689655177,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.6,0.6,0.5999999950000001,0.8333333333333334,0.8333333333333334,0.8333333283333335
0.0,0.028173932342701068,0.9974593495934959,0.2397547965645671,0.8,0.8888888888888888,0.8421052581717452,0.6,0.75,0.6666666617283951,0.8,0.8888888888888888,0.8421052581717452
0.0,0.04133290370444912,0.9963976945244957,0.2996119281045752,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.6,0.6,0.5999999950000001,0.8333333333333334,0.8333333333333334,0.8333333283333335
0.0,0.04484780650751108,0.9963768115942029,0.31530330882352947,0.5,0.42857142857142855,0.4615384565680473,0.2,0.16666666666666666,0.18181817685950424,0.5,0.42857142857142855,0.4615384565680473
0.0,0.006525381162527443,0.9935483870967742,0.04807692307692308,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.0,0.00892837481357802,0.9972175848636616,0.09048443471727698,0.5,0.3,0.3749999953125,0.2,0.1,0.13333332888888905,0.5,0.3,0.3749999953125
0.0,0.007286107723768035,1.0,0.032051282051282055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.025172303411365168,1.0,0.11627906976744187,0.6666666666666666,0.5,0.5714285665306124,0.5,0.3333333333333333,0.39999999520000007,0.6666666666666666,0.5,0.5714285665306124
0.0,0.02062369542615654,0.992619926199262,0.11520737327188942,0.75,0.5,0.5999999952,0.3333333333333333,0.2,0.24999999531250006,0.75,0.5,0.5999999952
0.0,0.019417413663949248,0.9797297297297297,0.07462686567164178,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.027777777777777776,0.028376707869611818,0.9722222222222222,0.0462962962962963,0.5,0.4,0.4444444395061729,0.3333333333333333,0.25,0.2857142808163266,0.5,0.4,0.4444444395061729
0.0,0.04942474684004712,0.9545454545454546,0.06666666666666667,0.5,0.5,0.4999999950000001,0.0,0.0,0.0,0.5,0.5,0.4999999950000001
0.0,0.014459182353628556,0.9915254237288136,0.072992700729927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.016613229756453525,0.9984984984984985,0.24344763286025078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05787109679975329,0.9821428571428571,0.16558675305975523,0.16666666666666666,0.07142857142857142,0.09999999580000019,0.0,0.0,0.0,0.16666666666666666,0.07142857142857142,0.09999999580000019
0.00909090909090909,0.06406840385554764,0.9682875264270613,0.4525229357798166,0.14285714285714285,0.3333333333333333,0.19999999580000008,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.19999999580000008
0.0,0.01951476307998515,0.9813664596273292,0.04716981132075472,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.0,0.015565504122760001,0.9952153110047847,0.030487804878048787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.02136177669085719,0.9963503649635036,0.13020833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.02759348164848268,0.9863945578231292,0.06849315068493152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03790815280335643,0.9913544668587896,0.2864141421593944,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.6,0.6,0.5999999950000001,0.8333333333333334,0.8333333333333334,0.8333333283333335
0.0,0.0,1.0,0.0,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
0.0,0.01580437977064801,0.9722222222222222,0.08928571428571429,0.75,1.0,0.8571428522448981,0.6666666666666666,1.0,0.7999999952000001,0.75,1.0,0.8571428522448981
0.0,0.009228282539700233,0.9928698752228164,0.08196721311475413,0.5,0.6666666666666666,0.5714285665306124,0.0,0.0,0.0,0.5,0.6666666666666666,0.5714285665306124
0.058823529411764705,0.050596101912699386,0.9534883720930233,0.22755102040816327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.025483434164818995,0.9724770642201835,0.10638297872340424,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.025,0.039883729858670995,0.9867549668874173,0.13392857142857142,0.2,0.5,0.2857142816326531,0.0,0.0,0.0,0.2,0.5,0.2857142816326531
0.0,0.04951808955390695,1.0,0.4810495626822158,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.03894314751264997,1.0,0.3579043557721597,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.03514324983035316,1.0,0.19230769230769232,0.6666666666666666,0.6666666666666666,0.6666666616666668,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666616666668
0.0,0.015612351734820356,1.0,0.17341040462427748,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.006944444444444444,0.014944021447243891,0.9978401727861771,0.1388888888888889,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.018348796244361087,0.9981167608286252,0.20364337477561337,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.015628408344819364,0.9977949283351709,0.14576198630136988,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.014303741417044068,0.9983361064891847,0.12820512820512822,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.015303839030416745,0.9973684210526316,0.24158010701920055,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.00836012201426026,1.0,0.05882352941176472,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
0.0,0.015095526872203745,0.9913793103448276,0.07194244604316548,0.6666666666666666,0.8,0.7272727223140496,0.4,0.5,0.4444444395061729,0.6666666666666666,0.8,0.7272727223140496
0.0,0.001388855676204855,1.0,0.011312217194570137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.025289176628782575,0.9992144540455616,0.22337228714524207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05673408565213345,0.9994600431965442,0.38392715576796765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09128157743714989,0.9985119047619048,0.5271617216934366,0.8,1.0,0.8888888839506174,0.75,1.0,0.8571428522448981,0.8,1.0,0.8888888839506174
0.005714285714285714,0.010205449495032819,0.993431855500821,0.12358803986710966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.038461538461538464,0.03962556917639567,0.945054945054945,0.08000000000000002,0.5,0.3333333333333333,0.39999999520000007,0.0,0.0,0.0,0.5,0.3333333333333333,0.39999999520000007
0.031746031746031744,0.028569283201622817,0.9191489361702128,0.23168687764961057,0.875,0.7777777777777778,0.823529406782007,0.5714285714285714,0.5,0.5333333283555556,0.875,0.7777777777777778,0.823529406782007
0.0,0.04088373797590556,0.9735449735449735,0.21108360836083612,0.8333333333333334,0.7142857142857143,0.7692307642603551,0.6,0.5,0.5454545404958678,0.8333333333333334,0.7142857142857143,0.7692307642603551
0.0,0.009876875300765002,0.9915492957746479,0.060606060606060615,0.5,0.6666666666666666,0.5714285665306124,0.3333333333333333,0.5,0.39999999520000007,0.5,0.6666666666666666,0.5714285665306124
0.0,0.007623968527368764,0.9987421383647799,0.0841750841750842,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.03571428571428571,0.05746117717461964,0.9841269841269841,0.10344827586206896,0.5714285714285714,0.5714285714285714,0.5714285664285715,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.5714285714285714,0.5714285714285714,0.5714285664285715
0.0,0.13610984417167216,0.9949494949494949,0.5694117647058825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.07522036455571461,0.9969325153374233,0.4721951219512196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.061835229153851805,0.9642857142857143,0.08403361344537816,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.0,0.016691760840608857,0.9926739926739927,0.10101010101010102,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
0.0,0.026149980317261436,0.9696969696969697,0.04504504504504504,0.3333333333333333,0.5,0.39999999520000007,0.0,0.0,0.0,0.3333333333333333,0.5,0.39999999520000007
0.0,0.019195041249834035,0.9989658738366081,0.17731741573033713,0.4,0.5,0.4444444395061729,0.25,0.3333333333333333,0.2857142808163266,0.4,0.5,0.4444444395061729
0.0,0.03811446066960277,0.9814814814814815,0.0617283950617284,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.0,0.017152322094677076,0.9860724233983287,0.1477199743095697,0.5,0.6,0.5454545404958678,0.0,0.0,0.0,0.5,0.6,0.5454545404958678
0.0,0.004472656730280742,0.9963369963369964,0.04087193460490463,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.0,0.030084622192992443,0.993006993006993,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.007479554998323281,0.9974457215836526,0.09174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05075982881673434,0.9779005524861878,0.3442861519607843,0.5,0.6,0.5454545404958678,0.2,0.25,0.22222221728395072,0.5,0.6,0.5454545404958678
0.0,0.07350047106885202,1.0,0.43472183393905506,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
0.0111731843575419,0.0066716409588420105,0.9893617021276596,0.03012048192771085,,,,,,,,,
0.0,0.03321828357851954,0.9808612440191388,0.2009009009009009,0.6666666666666666,0.3333333333333333,0.44444444000000005,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.44444444000000005
0.0,0.03281436470407262,0.9748427672955975,0.07874015748031497,0.5,0.8,0.6153846106508877,0.2857142857142857,0.5,0.36363635900826446,0.5,0.8,0.6153846106508877
0.0,0.008398690841750654,0.9987484355444305,0.11904761904761907,0.42857142857142855,0.42857142857142855,0.4285714235714286,0.16666666666666666,0.16666666666666666,0.16666666166666683,0.42857142857142855,0.42857142857142855,0.4285714235714286
0.0,0.00976664939998188,1.0,0.10791366906474821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.012104321465632822,1.0,0.07936507936507937,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
0.0,0.01460026730243573,0.9982788296041308,0.16387665198237888,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.04202618404399885,0.9745762711864406,0.186536901865369,0.5,0.6666666666666666,0.5714285665306124,0.3333333333333333,0.5,0.39999999520000007,0.5,0.6666666666666666,0.5714285665306124
0.0,0.01698839571669699,0.9885931558935361,0.059523809523809514,0.6666666666666666,0.2222222222222222,0.33333332958333334,0.5,0.125,0.19999999680000002,0.6666666666666666,0.2222222222222222,0.33333332958333334
0.0,0.004878567465291251,0.9992012779552716,0.08291873963515756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.010146562283904327,0.991652754590985,0.11722731906218145,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.0,0.018781631562457445,0.9813084112149533,0.04273504273504274,0.5,0.4,0.4444444395061729,0.3333333333333333,0.25,0.2857142808163266,0.5,0.4,0.4444444395061729
0.0,0.019417413663949248,0.9797297297297297,0.07462686567164178,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.0,0.06665880433054766,1.0,0.33478893740902477,0.2857142857142857,0.5,0.36363635900826446,0.16666666666666666,0.3333333333333333,0.22222221777777784,0.2857142857142857,0.5,0.36363635900826446
0.0,0.031018094303871525,0.9256198347107438,0.04761904761904762,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.017857142857142856,0.028425759196943533,0.9657894736842105,0.17978451819479904,0.5454545454545454,0.46153846153846156,0.4999999950347222,0.38461538461538464,0.35714285714285715,0.3703703653772291,0.5454545454545454,0.46153846153846156,0.4999999950347222
0.02,0.0287190894500909,0.989010989010989,0.15267175572519084,0.2,0.25,0.22222221728395072,0.0,0.0,0.0,0.2,0.25,0.22222221728395072
0.0,0.012158674608666013,0.984313725490196,0.072992700729927,0.25,0.25,0.24999999500000009,0.0,0.0,0.0,0.25,0.25,0.24999999500000009
0.0,0.022999406475988936,0.9965753424657534,0.27777777777777785,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.05089370087354792,1.0,0.34604651162790695,0.6666666666666666,0.8,0.7272727223140496,0.4,0.5,0.4444444395061729,0.6666666666666666,0.8,0.7272727223140496
0.0,0.010477542773094296,0.9985815602836879,0.1501369327073553,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.028147406728349686,1.0,0.17543859649122806,0.6666666666666666,0.6666666666666666,0.6666666616666668,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666616666668
0.0,0.016376403974782475,1.0,0.20979020979020982,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.022602126003860655,0.99581589958159,0.15306122448979592,0.8,0.8,0.7999999950000002,0.5,0.5,0.4999999950000001,0.8,0.8,0.7999999950000002
0.0,0.006218134940893087,0.9950413223140496,0.04065040650406505,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.0,0.006125653416956333,1.0,0.03344481605351171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
