exact_match,bleu,levenshtein,meteor,rouge1_p,rouge1_r,rouge1_f,rouge2_p,rouge2_r,rouge2_f,rougeL_p,rougeL_r,rougeL_f
0.0,0.0094125466646383,0.9983660130718954,0.08298755186721991,0.4,0.5,0.4444444395061729,0.0,0.0,0.0,0.4,0.5,0.4444444395061729
0.0,0.01611280911771774,0.9983974358974359,0.10593220338983052,0.6666666666666666,0.8,0.7272727223140496,0.6,0.75,0.6666666617283951,0.6666666666666666,0.8,0.7272727223140496
0.0,0.007049388987431659,0.9988385598141696,0.1204675572519084,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.003987298289394816,1.0,0.02985074626865672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.024247356221245932,0.9734513274336283,0.10416666666666667,0.5,0.5,0.4999999950000001,0.0,0.0,0.0,0.5,0.5,0.4999999950000001
0.004901960784313725,0.017713336984698916,0.9861809045226131,0.11551155115511555,0.5714285714285714,0.8,0.6666666618055556,0.5,0.75,0.5999999952,0.5714285714285714,0.8,0.6666666618055556
0.0,0.008135533452800898,0.997737556561086,0.15184064056244512,0.6,0.75,0.6666666617283951,0.25,0.3333333333333333,0.2857142808163266,0.6,0.75,0.6666666617283951
0.0,0.004125627197436836,0.9990884229717412,0.029940119760479052,0.6666666666666666,1.0,0.7999999952000001,0.5,1.0,0.6666666622222223,0.6666666666666666,1.0,0.7999999952000001
0.0,0.004889664419184258,0.997689196995956,0.09596928982725529,0.5,0.4,0.4444444395061729,0.3333333333333333,0.25,0.2857142808163266,0.5,0.4,0.4444444395061729
0.0,0.01326161244062843,0.9979231568016614,0.15836537469984238,0.5,0.6,0.5454545404958678,0.2,0.25,0.22222221728395072,0.5,0.6,0.5454545404958678
0.0,0.003840372436951463,0.9986320109439124,0.04357298474945534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.004283413537806254,0.9974937343358395,0.03947368421052632,0.3333333333333333,0.25,0.2857142808163266,0.0,0.0,0.0,0.3333333333333333,0.25,0.2857142808163266
0.0,0.008537609148444677,0.9959390862944163,0.11609907120743036,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
0.0,0.006440823530683554,0.9974842767295597,0.09090909090909091,0.75,1.0,0.8571428522448981,0.6666666666666666,1.0,0.7999999952000001,0.75,1.0,0.8571428522448981
0.0,0.0029691513074227875,1.0,0.0318471337579618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0027233853104468215,1.0,0.029354207436399226,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
0.0,0.026852340492697795,0.9807692307692307,0.04950495049504951,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
0.0,0.00848434243693848,0.998661311914324,0.12280701754385968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.008205016627795948,1.0,0.08333333333333334,0.2,0.16666666666666666,0.18181817685950424,0.0,0.0,0.0,0.2,0.16666666666666666,0.18181817685950424
0.0,0.00600266105348724,1.0,0.0664451827242525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.02599791740110703,0.9910714285714286,0.2206520250216885,0.6666666666666666,0.5714285714285714,0.6153846104142012,0.3333333333333333,0.2857142857142857,0.3076923027218935,0.6666666666666666,0.5714285714285714,0.6153846104142012
0.0,0.006434095304018191,0.9979423868312757,0.05033557046979867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.017563843982872383,0.9833333333333333,0.10964912280701755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
