,language,freq,max_size,file_count
0,English,23602848,1884220,2526777
1,Portuguese,798878,137960,103371
2,Chinese,789565,742173,122138
3,Galician,277939,117202,47503
4,German,215848,122307,67221
5,French,209110,517352,62436
6,Spanish,200725,211735,47787
7,Danish,171161,221410,84464
8,Italian,145063,40593,44448
9,Japanese,132797,1881287,37857
