,language,freq,max_size,file_count
0,English,17711673,65534,1681189
1,Chinese,248507,5036,45881
2,German,214917,2792,47566
3,Danish,202414,635,78073
4,French,177730,38349,59504
5,Portuguese,131664,19330,43735
6,Italian,130833,1085,31577
7,Spanish,125844,2951,32413
8,Latin,116656,2229,47541
9,Dutch,99142,471,41139
