,language,freq,max_size,file_count
0,English,17879347,606887,1684818
1,Chinese,249762,5036,46202
2,Danish,236074,606887,84491
3,German,225174,70426,49549
4,French,187846,65534,62485
5,Spanish,139949,29903,33791
6,Portuguese,138466,47691,45700
7,Italian,136324,36034,32977
8,Dutch,131645,606887,44203
9,Latin,128011,65534,50207
