,language,freq,max_size,file_count
0,English,21769559,647658,2432676
1,Chinese,702291,9833,104145
2,Galician,258982,610,36333
3,French,141094,5450,28398
4,German,139693,28553,25640
5,Spanish,135518,6934,25675
6,Japanese,115763,92094,29442
7,Portuguese,100257,5278,37032
8,Italian,94376,7022,16595
9,Russian,79754,29439,13767
